Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2023-11-15,68636.984375,68636.984375,67971.52884781855,68066.59392313019,20148677
2023-11-16,69207.375,69397.5051510989,68732.04962225274,68922.17977335164,15860451
2023-11-17,68922.1796875,69397.50506465517,68732.04953663793,68732.04953663793,11494644
2023-11-20,69112.3046875,69397.49989253783,68541.91427742435,68541.91427742435,10610157
2023-11-21,69207.375,69777.7654532967,69112.30992445056,69492.57022664836,9712881
2023-11-22,69207.375,69397.5051510989,68351.78932005494,68636.9845467033,11105143
2023-11-23,68827.109375,69587.6299205801,68636.97923860497,69397.49978418509,6775614
2023-11-24,68161.6640625,69017.24980387029,68161.6640625,68827.11963912133,6676685
2023-11-27,67781.390625,68541.91113692147,67591.26049701964,67971.52075298036,9113857
2023-11-28,69112.3046875,69112.3046875,67781.39373065681,67876.45879900275,13283081
2023-11-29,69112.3046875,69207.36975584594,68636.97934577029,68827.10948246217,9283933
2023-11-30,69207.375,69207.375,68636.9845467033,69112.30992445056,15783714
2023-12-01,68446.84375,68922.16905381944,68161.64856770833,68827.10399305556,9871284
2023-12-04,69017.234375,69302.42955836777,68827.10425275483,69207.36449724519,10229267
2023-12-05,67686.3203125,68827.10099192416,67686.3203125,68732.03593530548,12129682
2023-12-06,68161.6640625,68541.9243919979,68066.59898012552,68256.72914487448,8123087
2023-12-07,67971.5390625,68351.7994208916,67591.2787041084,68256.7343312937,8862017
2023-12-08,69017.234375,69207.36449724519,68351.77894714188,68541.90906938705,10859463
2023-12-11,69397.5,69397.5,68636.97945205479,69207.3698630137,9861960
2023-12-12,69872.8203125,69872.8203125,69492.56006590136,69682.69018920069,13758646
2023-12-13,69207.375,69872.83052884616,69207.375,69682.70037774726,13116766
2023-12-14,69492.5546875,70633.33533900479,68922.16436174761,70443.20523042066,27567593
2023-12-15,69682.6875,70348.1429058663,69587.6224420191,70158.0127899045,15419815
2023-12-18,69302.4375,69777.76286008231,69207.37242798354,69682.69778806584,9690551
2023-12-19,69777.7578125,69777.7578125,69207.36742166213,69397.49755194141,8907632
2023-12-20,71108.6796875,71203.74476729613,70158.02888953878,70538.28920872326,16870156
2023-12-21,71298.8125,71298.8125,70633.35691666667,70918.55216666666,13478766
2023-12-22,72154.3828125,72534.64306447629,71679.05749752965,72059.31774950594,14515608
2023-12-26,72819.84375,72914.90882016972,71964.25811847259,72344.51839915144,13164909
2023-12-27,74501.8671875,74501.8671875,73069.13897235577,73260.16940104167,20651042
2023-12-28,74979.453125,74979.453125,74024.30085589172,74215.33130971338,17797536
2024-01-02,76030.109375,76221.13980056533,74692.89639604272,74692.89639604272,17142847
2024-01-03,73546.7109375,75265.98469967533,73546.7109375,74979.43907264611,21753644
2024-01-04,73164.65625,73833.26276925587,72687.08016481723,72687.08016481723,15324439
2024-01-05,73164.65625,73642.23233518277,72973.62581592689,73260.17146703655,11304316
2024-01-08,73069.140625,74024.29279003268,72973.62540849674,73546.71670751635,11088724
2024-01-09,71349.859375,74215.3155747992,70967.79854836011,73928.76995481928,26019249
2024-01-10,70299.2109375,71827.45465353261,69917.15000849185,71636.42418902853,20259529
2024-01-11,69917.140625,70299.20150273223,69439.5645278347,69630.59496670081,57691266
2024-01-12,69821.6171875,70776.76926940835,69535.0715629275,69726.10197930917,13038939
2024-01-15,70585.734375,70681.24957713125,69917.1279600812,69917.1279600812,2957915
2024-01-16,69344.046875,70394.71425189394,69248.53165891873,70203.6838197314,14760415
2024-01-17,67815.8046875,70012.65469850352,67815.8046875,69821.62426276407,22683660
2024-01-18,68484.4140625,68770.95972803347,67529.26184405509,68388.89884065551,17853397
2024-01-19,71349.859375,71349.859375,69726.10086178046,70203.67689508032,23363427
2024-01-22,71731.9296875,72591.56666111852,71636.41446820906,72496.05144182757,19673375
2024-01-23,71827.4375,72400.52875664893,70967.80061502659,72305.01354720745,14786224
2024-01-24,70681.2734375,71827.45625,70203.697265625,71827.45625,12860661
2024-01-25,70776.7734375,71445.37993421053,70394.71258223684,70872.28865131579,11737747
2024-01-26,70108.1640625,71158.83137133856,70012.64885260558,70394.70969218324,11160062
2024-01-29,71063.3203125,71827.44203629033,70203.6833732359,70490.22901965726,13976521
2024-01-30,70967.8046875,71922.95683672611,70394.71339796434,71636.41119195828,12244418
2024-01-31,69439.5703125,70681.26826856946,69248.53985772008,70108.17690422971,15703560
2024-02-01,70299.2109375,70872.30233101222,69630.60431173573,69726.11954398776,19881033
2024-02-02,71827.4375,71827.4375,70394.70935837766,70681.25498670213,14955881
2024-02-05,70967.8046875,71445.38076211305,70203.68296811912,70872.2894725774,19026021
2024-02-06,71063.3203125,71349.86595892138,70012.6529422883,70967.80509702621,14559254
2024-02-07,71636.421875,72113.99802083334,70967.81527083334,71254.36095833333,16566445
2024-02-08,70776.7734375,71827.4407894737,70299.19736842105,71636.4103618421,20810708
2024-02-13,71827.4375,71827.4375,71063.31582446808,71445.37666223403,21966745
2024-02-14,70681.2734375,70967.819140625,70394.727734375,70394.727734375,12434945
2024-02-15,69917.140625,71063.32325819672,69726.11018613388,70872.2928193306,14120600
2024-02-16,69535.0859375,70108.17730511677,69248.54025369162,70012.66207718063,13444781
2024-02-19,70490.2421875,70585.7574208164,69535.08985433604,69535.08985433604,12726404
2024-02-20,70012.6484375,70394.70927481241,69535.07239085948,70394.70927481241,14681477
2024-02-21,69726.1015625,70394.70801583905,69630.58635488014,70108.16239297946,11503495
2024-02-22,69821.6171875,70585.73885302668,69439.55635473666,70490.22364483585,15208934
2024-02-23,69630.5859375,70872.28362911522,69630.5859375,70299.19238683127,16225166
2024-02-26,69535.0859375,69917.14684924451,68961.99456988325,69057.50979781937,14669352
2024-02-27,69630.5859375,70108.16197273662,69439.55552340535,69821.61635159465,13201981
2024-02-28,69917.140625,70585.74716103142,69535.07974726775,69630.59496670081,11795859
2024-02-29,70108.1640625,70108.1640625,68770.9511239782,69344.04238334468,21176403
2024-03-04,71540.8984375,71636.41365570761,70681.2614736315,70967.80712825434,23210474
2024-03-05,70394.71875,71445.38619402985,70394.71875,71254.35574966078,19505125
2024-03-06,69630.5859375,70203.67717978395,69439.55552340535,69917.13155864198,21547905
2024-03-07,68961.9921875,70012.65965850069,68961.9921875,69821.62920922783,14516963
2024-03-08,70012.6484375,70108.1636468281,69344.04197220327,69535.07239085948,19271349
2024-03-11,69153.015625,69821.6221296616,69057.50041004833,69630.59169975828,9740504
2024-03-12,70012.6484375,70203.6788561562,68866.46592556275,69344.04197220327,13011654
2024-03-13,70776.7734375,70776.7734375,70203.68215460527,70394.71258223684,15243134
